,N,Query,Annotation_date,Number,Individual_code,Individual,Birth_year,File_name,Original_link,Hyperlink,Context,Item,Realization_raw,Realization_type,Binary_response,Stressed,Gram_type,Case,pos
31,32,words_in_uju,1606,341532,анс1925,анс,1925.0,20140622c-ans-1a,,http://192.168.0.50/Pushkino/OUT/20140622c-ans-1a-1245135-1248265.wav,"В #столовую# сходишь когда, а когда и сама изготовишь.",столовую,uju,VjV,nondialectal,N,nonpronominal,acc,1246700.0
32,33,words_in_uju,1606,348848,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-55544-77536.wav,"Фролов день, Ильдин день, потом Пасху праздновали, Троицу. Старинный сейчас справляли, #Октябрьскую# , это, справляли. <? >",Октябрьскую,u,V,dialectal,N,nonpronominal,acc,66540.0
33,34,words_in_uju,1606,349961,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-647410-656388.wav,"Вот как сделаешь, ну, может, узенькая, а тут шире, шире, шире, и = и копну #большую# сделаешь.",большую,uju,VjV,nondialectal,Y,nonpronominal,acc,651899.0
34,35,words_in_uju,1606,350351,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-885956-895618.wav,"Карточки дадут дак, дак в #столовую# там придешь, там чего наварят, поешь, и тем... тем и сыта.",столовую,uju,VjV,nondialectal,N,nonpronominal,acc,890787.0
35,36,words_in_uju,1606,350726,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1101366-1111311.wav,"Ну он и сказал одно слово, говорит "" А война будет, вот дак партейцы в #первую# очередь пойдут на войну "". И всё, десять лет ему дали сразу.",первую,uju,VjV,nondialectal,N,nonpronominal,acc,1106338.5
36,37,words_in_uju,1606,350777,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1123390-1137695.wav,"Не знаю, кто и писал, дак всё неправильно и посадили неправильно, дак нам дали вот хоть куда, это, дали, книжечку #красную# дали.",красную,uju,VjV,nondialectal,N,nonpronominal,acc,1130542.5
37,38,words_in_uju,1606,351522,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1498339-1507326.wav,"Ну вот, тряпицу положишь #толстущую# , положишь, воды кипятку нальешь, она зола - то это...",толстущую,uju,VjV,nondialectal,N,nonpronominal,acc,1502832.5
38,39,words_in_uju,1606,351866,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1661172-1665787.wav,А? А #всякую# . Всякую - всякую,всякую,uju,VjV,nondialectal,N,pronominal,acc,1663479.5
39,40,words_in_uju,1606,351868,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1661172-1665787.wav,А? А всякую. #Всякую# - всякую,Всякую,u,V,dialectal,N,pronominal,acc,1663479.5
40,41,words_in_uju,1606,351870,анс1925,анс,1925.0,20140628b-ans,,http://192.168.0.50/Pushkino/OUT/20140628b-ans-1661172-1665787.wav,А? А всякую. Всякую - #всякую# ,всякую,u,V,dialectal,N,pronominal,acc,1663479.5
