,Index,Subject,Birth year,Record,Link,FileLink,Context,Word,Dissimilation,Num,pos
456,56413,тан1937,1937,20140624d-sek ,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-1554900-1558536.wav ,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-1554900-1558536.wav ,"    Ешьте сами - то давай, ешьте. #Кто# чего ест.   ",хто,yes,1.0,1556718.0
457,60394,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3336096-3340164.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3336096-3340164.wav,"Кто дубом красил, #кто# краской какой - нибудь < покрасят >",хто,yes,1.0,3338130.0
458,60726,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav," #Кто# , кто яйцами <? >, кто маслом, у кого корова есть да последняя.",кто,no,0.0,3440873.0
459,60728,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav,"Кто, #кто# яйцами <? >, кто маслом, у кого корова есть да последняя.",кто,no,0.0,3440873.0
460,60734,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3438152-3443594.wav,"Кто, кто яйцами <? >, #кто# маслом, у кого корова есть да последняя.",хто,yes,1.0,3440873.0
461,62191,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-4021910-4022806.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-4021910-4022806.wav, #Кто# знает.,хто,yes,1.0,4022358.0
462,65968,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-5449516-5452423.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-5449516-5452423.wav,Ак там варят вам? Еду. #Кто# <? >,кто,no,0.0,5450969.5
463,188158,тан1937,1937,20150716b-sek-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-8772662-8773714.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-8772662-8773714.wav, #Кто# там? Сын?,Кто,+,1.0,8773188.0
464,188645,тан1937,1937,20150716b-sek-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9047070-9048264.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9047070-9048264.wav, #Кто# это идет - то?,Кто,0,,9047667.0
465,188705,тан1937,1937,20150716b-sek-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9084706-9086212.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9084706-9086212.wav,Мужики или #кто# ?,кто,+,1.0,9085459.0
466,189935,тан1937,1937,20150716b-sek-1,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9687313-9689124.wav,http://www.parasolcorpus.org/Pushkino/OUT/20150716b-sek-1-9687313-9689124.wav,С головой непорядок да #кто# пойдет?,кто,+,1.0,9688218.5
467,265353,тан1937,1937,20160703a-sek-1,http://www.parasolcorpus.org/Pushkino/OUT/20160703a-sek-1-251042-253773.wav,http://www.parasolcorpus.org/Pushkino/OUT/20160703a-sek-1-251042-253773.wav,Ноги бы другие #кто# бы дал бы дак.,кто,++,1.0,252407.5
468,123554,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-1554900-1558536.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-1554900-1558536.wav,"Ешьте сами - то давай, ешьте. #Кто# чего ест.",Кто,,1.0,1556718.0
469,127501,тан1937,1937,20140624d-sek,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3322133-3322879.wav,http://www.parasolcorpus.org/Pushkino/OUT/20140624d-sek-3322133-3322879.wav, #Кто# ?,Кто,,0.0,3322506.0
470,373659,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-278317-279956.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-278317-279956.wav, #Кто# еще у нас здесь...,кто,no,0.0,279136.5
471,373859,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-361151-364715.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-361151-364715.wav,"<? > #Кто# знает... И ни аптеки, и ни больницы, ничего, на всё лето.",хто,yes,1.0,362933.0
472,374431,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-602457-606368.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-602457-606368.wav,"Ребятки - то маленькие, уж тут #кто# постарше пьют пиво - то.",хто,yes,1.0,604412.5
473,374718,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-741564-744351.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-741564-744351.wav,"Кур - то кое - #кто# держит, и то мало, мало, мало.",хто,yes,1.0,742957.5
474,374827,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-797042-800327.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-797042-800327.wav," #Кто# как жил, кто как мог.",хто,yes,1.0,798684.5
475,374831,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-797042-800327.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-797042-800327.wav,"Кто как жил, #кто# как мог.",хто,yes,1.0,798684.5
476,374835,нвл1939,1939,20130629b-nvl,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-800327-804755.wav,http://www.parasolcorpus.org/Pushkino/OUT/20130629b-nvl-800327-804755.wav," #Кто# не ленился, тот жил. Кто ленился, тот не жил.",хто,yes,1.0,802541.0
